protein_id,nt_length,protein_classification
QXV81787.1,156,unknown
QXV81788.1,159,unknown
QXV81789.1,207,unknown
QXV81790.1,381,unknown
QXV81791.1,258,unknown
QXV81792.1,513,unknown
QXV81793.1,297,assembly;
QXV81794.1,333,unknown
QXV81795.1,273,unknown
QXV81796.1,405,unknown
QXV81797.1,198,unknown
QXV81798.1,543,unknown
QXV81799.1,234,unknown
QXV81800.1,342,unknown
QXV81801.1,531,assembly;
QXV81802.1,249,unknown
QXV81803.1,549,unknown
QXV81804.1,465,assembly;
QXV81805.1,225,unknown
QXV81806.1,96,unknown
QXV81807.1,504,unknown
QXV81808.1,219,unknown
QXV81809.1,582,unknown
QXV81810.1,345,unknown
QXV81811.1,294,unknown
QXV81812.1,405,unknown
QXV81813.1,399,unknown
QXV81814.1,465,lysis;
QXV81815.1,1383,unknown
QXV81816.1,372,unknown
QXV81817.1,591,unknown
QXV81818.1,234,unknown
QXV81819.1,162,unknown
QXV81820.1,372,unknown
QXV81821.1,1416,unknown
QXV81822.1,153,unknown
QXV81823.1,NA,NA
QXV81824.1,141,unknown
QXV81825.1,147,assembly;
QXV81826.1,558,unknown
QXV81827.1,735,unknown
QXV81828.1,507,packaging;
QXV81829.1,NA,NA
QXV81830.1,1569,packaging;
QXV81831.1,378,unknown
QXV81832.1,1263,assembly;
QXV81833.1,1104,assembly;
QXV81834.1,522,assembly;
QXV81835.1,NA,NA
QXV81836.1,NA,NA
QXV81837.1,NA,NA
QXV81838.1,945,unknown
QXV81839.1,246,assembly;
QXV81840.1,402,unknown
QXV81841.1,372,unknown
QXV81842.1,438,unknown
QXV81843.1,402,unknown
QXV81844.1,657,infection;
QXV81845.1,249,unknown
QXV81846.1,315,unknown
QXV81847.1,312,unknown
QXV81848.1,2976,infection;
QXV81849.1,378,infection;
QXV81850.1,375,unknown
QXV81851.1,756,infection;
QXV81852.1,483,unknown
QXV81853.1,759,infection;
QXV81854.1,573,assembly;infection;
QXV81855.1,3396,infection;
QXV81856.1,309,unknown
QXV81857.1,672,unknown
QXV81858.1,222,lysis;integration;
QXV81859.1,NA,NA
QXV81860.1,NA,NA
QXV81861.1,966,packaging;
QXV81862.1,651,integration;
QXV81863.1,420,replication;
QXV81864.1,NA,NA
QXV81865.1,924,replication;
QXV81866.1,NA,NA
QXV81867.1,486,assembly;
QXV81868.1,1995,replication;
QXV81869.1,429,unknown
QXV81870.1,243,unknown
QXV81871.1,159,unknown
QXV81872.1,219,unknown
QXV81873.1,201,unknown
QXV81874.1,126,unknown
QXV81875.1,249,unknown
QXV81876.1,252,unknown
QXV81877.1,1131,unknown
QXV81878.1,177,unknown
QXV81879.1,216,lysis;
QXV81880.1,486,lysis;
QXV81881.1,390,unknown
QXV81882.1,336,unknown
QXV81883.1,1584,assembly;
QXV81884.1,378,unknown
QXV81885.1,165,unknown
QXV81886.1,NA,NA
QXV81887.1,162,unknown
QXV81888.1,NA,NA
QXV81889.1,240,unknown
QXV81890.1,180,unknown
QXV81891.1,522,assembly;
QXV81892.1,540,unknown
QXV81893.1,210,unknown
QXV81894.1,NA,NA
QXV81895.1,NA,NA
QXV81896.1,NA,NA
QXV81897.1,540,unknown
QXV81898.1,132,unknown
QXV81899.1,633,unknown
QXV81900.1,NA,NA
QXV81901.1,219,unknown
QXV81902.1,138,unknown
QXV81903.1,213,unknown
QXV81904.1,183,unknown
QXV81905.1,NA,NA
QXV81906.1,123,unknown
QXV81907.1,NA,NA
QXV81908.1,198,unknown
QXV81909.1,240,unknown
QXV81910.1,NA,NA
QXV81911.1,NA,NA
QXV81912.1,NA,NA
QXV81913.1,NA,NA
QXV81914.1,183,unknown
QXV81915.1,NA,NA
QXV81916.1,NA,NA
QXV82438.1,525,packaging;
QXV82439.1,1584,packaging;
QXV82440.1,1284,infection;
QXV82441.1,762,assembly;
QXV82442.1,1113,unknown
QXV82443.1,477,assembly;
QXV82444.1,768,unknown
QXV82445.1,960,assembly;
QXV82446.1,288,unknown
QXV82447.1,411,unknown
QXV82448.1,381,assembly;infection;
QXV82449.1,444,unknown
QXV82450.1,399,infection;
QXV82451.1,669,infection;
QXV82452.1,318,assembly;infection;
QXV82453.1,198,assembly;infection;
QXV82453.1,198,assembly;infection;
QXV82454.1,2874,assembly;infection;
QXV82455.1,354,infection;
QXV82456.1,783,infection;
QXV82457.1,735,infection;
QXV82458.1,600,assembly;infection;
QXV82459.1,3420,infection;
QXV82460.1,306,unknown
QXV82461.1,690,unknown
QXV82462.1,228,lysis;integration;
QXV82463.1,1065,unknown
QXV82464.1,648,unknown
QXV82465.1,426,replication;
QXV82466.1,NA,NA
QXV82467.1,936,replication;
QXV82468.1,453,unknown
QXV82469.1,2019,replication;
QXV82470.1,417,unknown
QXV82471.1,714,unknown
QXV82472.1,252,unknown
QXV82473.1,225,unknown
QXV82474.1,402,unknown
QXV82475.1,1152,unknown
QXV82476.1,177,unknown
QXV82477.1,216,unknown
QXV82478.1,489,unknown
QXV82479.1,405,unknown
QXV82480.1,216,unknown
QXV82481.1,408,unknown
QXV82482.1,1572,unknown
QXV82483.1,NA,NA
QXV82484.1,417,unknown
QXV82485.1,210,unknown
QXV82486.1,225,unknown
QXV82487.1,144,unknown
QXV82488.1,321,unknown
QXV82489.1,201,unknown
QXV82490.1,372,unknown
QXV82491.1,336,unknown
QXV82492.1,705,regulation;
QXV82493.1,516,unknown
QXV82494.1,246,unknown
QXV82495.1,195,unknown
QXV82496.1,471,unknown
QXV82497.1,231,unknown
QXV82498.1,228,unknown
QXV82499.1,111,unknown
QXV82500.1,174,unknown
QXV82501.1,192,unknown
QXV82502.1,489,unknown
QXV82503.1,507,unknown
QXV82504.1,NA,NA
QXV82505.1,207,unknown
QXV82506.1,288,unknown
QXV82507.1,639,unknown
QXV82508.1,111,unknown
QXV82509.1,219,unknown
QXV82510.1,489,unknown
QXV82511.1,612,unknown
QXV82512.1,NA,NA
QXV82513.1,573,unknown
QXV82514.1,210,unknown
QXV82515.1,324,unknown
QXV82516.1,231,unknown
QXV82517.1,204,unknown
QXV82518.1,162,unknown
QXV82519.1,186,unknown
QXV82520.1,228,unknown
QXV83646.1,516,packaging;
QXV83647.1,1569,unknown
QXV83648.1,1278,unknown
QXV83649.1,750,unknown
QXV83650.1,1113,unknown
QXV83651.1,489,unknown
QXV83652.1,810,unknown
QXV83653.1,972,unknown
QXV83654.1,273,unknown
QXV83655.1,420,unknown
QXV83656.1,372,unknown
QXV83657.1,441,unknown
QXV83658.1,402,unknown
QXV83659.1,660,unknown
QXV83660.1,324,assembly;infection;
QXV83661.1,195,unknown
QXV83661.1,195,unknown
QXV83662.1,2691,unknown
QXV83663.1,354,infection;
QXV83664.1,756,infection;
QXV83665.1,726,assembly;infection;
QXV83666.1,600,assembly;
QXV83667.1,3426,unknown
QXV83668.1,306,unknown
QXV83669.1,654,unknown
QXV83670.1,228,unknown
QXV83671.1,1059,packaging;
QXV83672.1,663,unknown
QXV83673.1,420,replication;
QXV83674.1,252,unknown
QXV83675.1,495,unknown
QXV83676.1,324,unknown
QXV83677.1,711,unknown
QXV83678.1,NA,NA
QXV83679.1,948,unknown
QXV83680.1,444,unknown
QXV83681.1,2001,replication;
QXV83682.1,432,unknown
QXV83683.1,747,unknown
QXV83684.1,234,unknown
QXV83685.1,156,assembly;
QXV83686.1,249,unknown
QXV83687.1,1122,unknown
QXV83688.1,168,unknown
QXV83689.1,216,unknown
QXV83690.1,495,unknown
QXV83691.1,393,unknown
QXV83692.1,228,unknown
QXV83693.1,195,unknown
QXV83694.1,393,unknown
QXV83695.1,1581,unknown
QXV83696.1,249,assembly;
QXV83697.1,420,unknown
QXV83698.1,696,regulation;
QXV83699.1,225,assembly;
QXV83700.1,222,assembly;
QXV83701.1,NA,NA
QXV83702.1,234,unknown
QXV83703.1,195,unknown
QXV83704.1,NA,NA
QXV83705.1,222,assembly;
QXV83706.1,NA,NA
QXV83707.1,276,unknown
QXV83708.1,NA,NA
QXV83709.1,459,assembly;
QXV83710.1,252,assembly;
QXV83711.1,NA,NA
QXV83712.1,NA,NA
QXV83713.1,159,unknown
QXV83714.1,NA,NA
QXV83715.1,150,assembly;
QXV83716.1,NA,NA
QXV83717.1,NA,NA
QXV83718.1,540,unknown
QXV83719.1,180,unknown
QXV83720.1,NA,NA
QXV83721.1,579,unknown
QXV83722.1,NA,NA
QXV83723.1,108,unknown
QXV83724.1,252,unknown
QXV83725.1,NA,NA
QXV83726.1,279,unknown
QXV83727.1,NA,NA
QXV83728.1,NA,NA
QXV83729.1,213,unknown
QXV83730.1,NA,NA
QXV83731.1,348,assembly;
QXV83732.1,231,unknown
QXV83733.1,213,assembly;
QXV83734.1,183,unknown
QXV83735.1,231,unknown
QXV85071.1,483,unknown
QXV85072.1,1317,packaging;
QXV85073.1,438,unknown
QXV85074.1,1218,infection;
QXV85075.1,483,infection;
QXV85076.1,630,lysis;assembly;
QXV85077.1,1377,assembly;
QXV85078.1,513,unknown
QXV85079.1,768,unknown
QXV85080.1,486,unknown
QXV85081.1,1410,infection;
QXV85082.1,897,infection;
QXV85083.1,405,unknown
QXV85084.1,369,unknown
QXV85085.1,3681,assembly;
QXV85086.1,615,unknown
QXV85087.1,2850,infection;
QXV85088.1,2058,infection;
QXV85089.1,423,infection;
QXV85090.1,3399,assembly;infection;
QXV85091.1,NA,NA
QXV85092.1,270,unknown
QXV85093.1,447,unknown
QXV85094.1,876,packaging;
QXV85095.1,483,unknown
QXV85096.1,1839,packaging;
QXV85097.1,978,packaging;
QXV85098.1,NA,NA
QXV85099.1,774,unknown
QXV85100.1,285,unknown
QXV85101.1,1353,replication;
QXV85102.1,498,unknown
QXV85103.1,2478,replication;
QXV85104.1,891,replication;
QXV85105.1,1524,replication;
QXV85106.1,768,replication;
QXV85107.1,771,replication;
QXV85108.1,972,replication;
QXV85109.1,216,unknown
QXV85110.1,309,regulation;
QXV85111.1,297,unknown
QXV85112.1,411,unknown
QXV85113.1,108,unknown
QXV85114.1,705,unknown
QXV85115.1,234,unknown
QXV85116.1,2790,replication;
QXV85117.1,408,unknown
QXV85118.1,429,unknown
QXV85119.1,507,unknown
QXV85120.1,186,unknown
QXV85121.1,183,unknown
QXV85122.1,777,unknown
QXV85123.1,NA,NA
QXV85124.1,204,unknown
QXV85125.1,282,unknown
QXV85126.1,1875,replication;
QXV85127.1,750,unknown
QXV85128.1,243,unknown
QXV85129.1,2394,replication;
QXV85130.1,519,packaging;
QXV85131.1,1146,replication;
QXV85132.1,537,replication;
QXV85133.1,855,unknown
QXV85134.1,354,unknown
QXV85135.1,255,unknown
QXV85136.1,270,unknown
QXV85137.1,477,packaging;
QXV85138.1,279,unknown
QXV85139.1,516,unknown
QXV85140.1,216,unknown
QXV85141.1,261,unknown
QXV85142.1,216,unknown
QXV85143.1,702,lysis;
QXV85144.1,183,unknown
QXV85145.1,639,unknown
QXV85146.1,318,unknown
QXV85147.1,450,lysis;
QXV85148.1,171,unknown
QXV85149.1,444,unknown
QXV85150.1,NA,NA
QXV85151.1,NA,NA
QXV85152.1,NA,NA
QXV85153.1,201,unknown
QXV85154.1,945,unknown
QXV85155.1,NA,NA
QXV85156.1,195,unknown
QXV85157.1,429,unknown
QXV85158.1,996,unknown
QXV85159.1,NA,NA
QXV85160.1,NA,NA
QXV85161.1,1065,unknown
QXV85162.1,678,infection;
QXV85163.1,189,unknown
QXV85164.1,339,unknown
QXV85165.1,168,unknown
QXV85166.1,207,unknown
QXV85167.1,276,unknown
QXV85168.1,273,unknown
QXV85169.1,189,unknown
QXV85170.1,186,unknown
QXV85171.1,360,unknown
QXV85172.1,219,unknown
QXV85173.1,NA,NA
QXV85174.1,201,unknown
QXV85175.1,222,unknown
QXV85176.1,165,unknown
QXV85177.1,294,unknown
QXV85178.1,NA,NA
QXV85179.1,369,unknown
QXV85180.1,162,unknown
QXV85181.1,162,unknown
QXV85182.1,186,unknown
QXV85183.1,396,unknown
QXV85184.1,273,unknown
QXV85185.1,297,unknown
QXV85186.1,528,packaging;
QXV85187.1,294,unknown
QXV85188.1,285,assembly;
QXV85189.1,345,unknown
QXV85190.1,699,unknown
QXV85191.1,450,unknown
QXV85192.1,354,unknown
QXV85193.1,747,unknown
QXV85194.1,600,lysis;
QXV85195.1,657,lysis;
QXV85196.1,414,lysis;
QXV85197.1,417,unknown
QXV85198.1,411,unknown
QXV85199.1,291,assembly;
QXV85200.1,321,unknown
QXV85201.1,864,unknown
QXV85202.1,624,unknown
QXV85203.1,102,unknown
QXV85204.1,432,unknown
QXV85205.1,252,unknown
QXV85206.1,399,unknown
QXV85207.1,282,assembly;
QXV85208.1,246,unknown
QXV85209.1,330,unknown
QXV85210.1,NA,NA
QXV85211.1,201,unknown
QXV85212.1,468,unknown
QXV85213.1,384,unknown
QXV85214.1,519,unknown
QXV85215.1,288,unknown
QXV85216.1,186,unknown
QXV85217.1,633,unknown
QXV85218.1,888,unknown
QXV85219.1,NA,NA
QXV85220.1,NA,NA
QXV85221.1,186,unknown
QXV85222.1,345,unknown
QXV85223.1,NA,NA
QXV85224.1,213,unknown
QXV85225.1,474,unknown
QXV85226.1,1008,unknown
QXV85227.1,NA,NA
QXV85228.1,210,unknown
QXV85229.1,252,unknown
QXV85230.1,417,infection;
QXV85231.1,228,infection;
QXV85232.1,1665,infection;
QXV85233.1,273,unknown
QXV85234.1,393,unknown
QXV85235.1,735,unknown
QXV85236.1,249,unknown
QXV85237.1,135,unknown
QXV85238.1,279,unknown
QXV85239.1,267,unknown
QXV85240.1,1773,replication;
NP_049616.1,2178,lysis;
NP_049617.1,204,unknown
NP_049618.1,533,replication;assembly;
NP_049618.1,533,replication;assembly;
NP_049619.1,381,packaging;
NP_049620.1,114,packaging;
NP_049621.1,1551,replication;assembly;
NP_049622.1,198,assembly;
NP_049623.1,138,assembly;
NP_049624.1,426,regulation;
NP_049625.1,216,unknown
NP_049626.1,489,regulation;
NP_049627.1,360,unknown
NP_049628.1,501,unknown
NP_049629.1,684,packaging;
NP_049630.1,243,unknown
NP_049631.1,246,unknown
NP_049632.1,1320,replication;
NP_049633.1,312,unknown
NP_049634.1,747,unknown
NP_049635.1,603,replication;
NP_049636.1,624,unknown
NP_049637.1,183,unknown
NP_049638.1,471,unknown
NP_049639.1,165,unknown
NP_049640.1,204,regulation;
NP_049641.1,486,regulation;
NP_049642.1,342,unknown
NP_049643.1,207,unknown
NP_049644.1,243,assembly;
NP_049645.1,675,packaging;
NP_049646.1,516,assembly;
NP_049647.1,780,unknown
NP_049648.1,1029,replication;assembly;
NP_049649.1,165,assembly;
NP_049650.1,627,assembly;
NP_049651.1,294,unknown
NP_049652.1,258,assembly;
NP_049653.1,183,unknown
NP_049654.1,1428,replication;assembly;
NP_049655.1,345,assembly;infection;
NP_049656.2,1176,integration;replication;
NP_049657.1,666,packaging;
NP_049658.1,1056,integration;
NP_049659.1,741,regulation;assembly;
NP_049660.1,252,assembly;infection;
NP_049661.1,378,assembly;
NP_049662.1,2697,replication;assembly;
NP_049663.1,369,regulation;
NP_049664.1,564,replication;assembly;
NP_049665.1,960,replication;assembly;
NP_049666.1,687,replication;assembly;
NP_049667.1,390,replication;
NP_049668.1,189,assembly;
NP_049669.1,1683,integration;packaging;assembly;
NP_049670.1,207,assembly;
NP_049671.1,264,assembly;
NP_049672.1,1020,integration;packaging;assembly;
NP_813808.1,141,assembly;
NP_049673.1,1203,unknown
NP_049674.1,795,packaging;
NP_049675.1,192,unknown
NP_049676.1,204,unknown
NP_049677.1,318,unknown
NP_049678.1,219,unknown
NP_049679.1,558,unknown
NP_049680.1,264,assembly;
NP_049681.1,327,assembly;
NP_049682.1,240,assembly;
NP_049683.1,132,assembly;
NP_049684.1,294,assembly;
NP_049685.1,183,assembly;
NP_049686.1,309,unknown
NP_049687.1,213,assembly;
NP_049688.1,471,replication;
NP_049689.1,633,packaging;
NP_049690.1,NA,NA
NP_049691.2,777,packaging;
NP_049692.1,474,integration;packaging;assembly;
NP_049693.2,318,assembly;
NP_049694.1,486,lysis;regulation;
NP_049695.1,156,assembly;
NP_049696.1,321,assembly;
NP_049697.1,309,assembly;
NP_049698.1,264,assembly;
NP_049699.1,243,unknown
NP_049700.1,315,unknown
NP_049701.1,927,unknown
NP_049702.1,1002,unknown
NP_049703.1,1023,unknown
NP_049704.1,828,unknown
NP_049705.1,402,assembly;
NP_049706.1,528,unknown
NP_049707.1,303,unknown
NP_049708.1,978,unknown
NP_049709.1,1011,unknown
NP_049710.1,780,packaging;
NP_049711.1,546,unknown
NP_049712.1,105,unknown
NP_813809.1,117,unknown
NP_049713.1,195,unknown
NP_049714.1,183,unknown
NP_049715.1,189,unknown
NP_049716.1,387,unknown
NP_049717.1,294,lysis;regulation;assembly;
NP_049718.1,213,unknown
NP_049719.1,582,unknown
NP_049720.1,189,unknown
NP_049721.1,186,unknown
NP_049722.1,213,unknown
NP_049723.1,468,unknown
NP_049724.1,348,unknown
NP_049725.1,546,unknown
NP_049726.1,462,packaging;
NP_049727.1,279,unknown
NP_049728.1,267,unknown
NP_049729.1,177,unknown
NP_049730.1,363,unknown
NP_049731.1,330,unknown
NP_049732.1,660,unknown
NP_049733.1,417,packaging;
NP_049734.1,303,assembly;
NP_049735.1,582,assembly;
NP_049736.1,495,lysis;
NP_049737.1,456,unknown
NP_049738.1,309,assembly;
NP_049739.1,363,assembly;
NP_049740.1,393,assembly;
NP_049741.1,609,unknown
NP_049742.1,594,unknown
NP_049743.1,336,unknown
NP_049744.1,264,unknown
NP_049745.2,666,packaging;
NP_049746.1,288,unknown
NP_049747.1,411,unknown
NP_049748.1,186,assembly;
NP_049749.1,288,assembly;
NP_049750.1,459,assembly;
NP_049751.1,243,assembly;infection;
NP_049752.1,726,assembly;
NP_049753.1,531,assembly;infection;
NP_049754.1,825,assembly;
NP_049755.1,453,assembly;
NP_049756.1,591,assembly;infection;
NP_049757.1,1728,lysis;assembly;infection;
NP_049758.1,138,replication;
NP_049759.1,153,replication;
NP_049760.1,495,unknown
NP_049761.1,423,packaging;
NP_049762.1,171,packaging;
NP_049763.1,294,assembly;
NP_049764.1,1983,assembly;infection;
NP_049765.1,3099,assembly;infection;
NP_049766.1,1005,assembly;infection;
NP_049767.1,867,assembly;infection;
NP_049768.1,1809,assembly;infection;
NP_049769.1,660,assembly;infection;
NP_049770.1,1584,assembly;infection;
NP_049771.1,1464,assembly;
NP_049772.1,930,assembly;
NP_049773.1,771,assembly;
NP_049774.1,819,assembly;infection;
NP_049775.1,495,packaging;assembly;
NP_049776.1,1833,packaging;assembly;
NP_049777.1,1572,assembly;
NP_049778.1,1518,assembly;
NP_049779.1,1251,assembly;
NP_049780.1,1980,assembly;infection;
NP_049781.1,492,assembly;infection;
NP_049782.1,1575,assembly;infection;
NP_049783.1,243,assembly;
NP_049784.1,426,assembly;
NP_049785.1,639,lysis;assembly;
NP_813810.1,573,lysis;assembly;
NP_049786.1,810,assembly;
NP_049787.1,1566,assembly;
NP_049788.2,672,packaging;
NP_049789.1,1284,assembly;infection;
NP_049790.1,1005,replication;
NP_049791.1,279,assembly;
NP_049792.1,171,assembly;
NP_049793.1,1131,assembly;
NP_049794.1,681,lysis;regulation;assembly;
NP_049795.1,618,packaging;
NP_049796.1,1764,replication;
NP_049797.1,168,replication;
NP_049798.1,225,replication;
NP_049799.2,414,integration;replication;
NP_049800.1,399,assembly;infection;
NP_049801.1,627,assembly;infection;
NP_813811.1,288,regulation;assembly;
NP_049802.1,750,lysis;assembly;infection;
NP_049803.1,1176,assembly;infection;
NP_049804.2,534,assembly;infection;
NP_049805.1,1773,assembly;infection;
NP_049806.1,1095,assembly;infection;
NP_049807.1,963,assembly;infection;
NP_049808.1,291,unknown
NP_049809.1,204,unknown
NP_049810.1,186,unknown
NP_049811.1,2049,replication;
NP_049812.1,189,unknown
NP_049813.1,1464,replication;assembly;
NP_049814.1,270,assembly;
NP_049815.1,837,assembly;
NP_049816.1,459,assembly;
NP_049817.1,228,assembly;
NP_049818.1,207,assembly;
NP_049819.1,198,assembly;
NP_049820.1,288,assembly;
NP_049821.1,366,assembly;
NP_049822.1,333,assembly;
NP_049823.1,177,assembly;
NP_049824.1,249,lysis;regulation;
NP_049825.1,336,assembly;infection;
NP_049826.1,309,assembly;
NP_049827.1,237,assembly;
NP_049828.1,582,unknown
NP_049829.1,339,unknown
NP_049830.1,231,unknown
NP_049831.1,276,unknown
NP_049832.1,201,unknown
NP_049833.1,228,unknown
NP_049834.1,906,unknown
NP_049835.1,228,unknown
NP_049836.2,300,unknown
NP_049837.1,354,assembly;
NP_049838.1,504,regulation;
NP_049839.1,1125,lysis;replication;infection;
NP_049840.1,435,packaging;
NP_049841.1,NA,NA
NP_049842.1,294,packaging;
NP_049843.1,252,packaging;
NP_049844.1,426,packaging;
NP_049845.1,2265,replication;
NP_049846.1,327,unknown
NP_049847.1,264,unknown
NP_049848.1,NA,NA
NP_049849.3,738,packaging;
NP_049850.1,582,replication;
NP_049851.1,243,unknown
NP_049852.1,387,unknown
NP_049853.1,228,unknown
NP_049854.1,906,replication;assembly;
NP_049855.1,633,packaging;
NP_049856.1,654,replication;assembly;
NP_049857.1,339,regulation;assembly;
NP_049858.1,270,replication;regulation;
NP_049859.1,918,packaging;
NP_049860.1,3870,assembly;infection;
NP_049861.1,1119,assembly;infection;
NP_049862.1,666,assembly;infection;
NP_049863.1,3081,assembly;infection;
NP_049864.1,552,lysis;assembly;infection;
NP_049865.1,657,lysis;
NP_049866.1,273,unknown
NP_049867.1,153,unknown
NP_049868.1,279,regulation;packaging;infection;
NP_049869.1,132,unknown
NP_049870.1,297,unknown
NP_049871.1,459,unknown
NP_049872.2,207,unknown
NP_049873.1,636,regulation;
NP_049874.1,150,unknown
NP_049875.1,1329,replication;assembly;
NP_049876.1,141,assembly;
NP_049877.1,156,unknown
NP_049878.1,81,lysis;regulation;packaging;
NP_049879.1,456,unknown
NP_049880.1,216,unknown
NP_049881.1,111,assembly;
NP_049882.1,123,unknown
NP_049883.1,81,assembly;
NP_049884.1,129,assembly;
NP_049885.1,99,assembly;
NP_049886.1,87,assembly;
NP_049887.1,558,packaging;
NP_049888.1,195,unknown
NP_049889.1,939,lysis;
NP_041954.1,354,unknown
NP_041955.1,156,unknown
NP_041956.1,144,unknown
NP_041957.1,NA,NA
NP_041958.1,162,unknown
NP_041959.1,1080,unknown
NP_041960.1,2652,replication;
NP_041961.1,129,unknown
NP_041962.1,258,regulation;
NP_041963.1,1080,replication;
NP_041964.1,156,unknown
NP_041965.1,90,unknown
NP_041966.1,261,unknown
NP_041967.1,591,unknown
NP_041968.1,147,unknown
NP_041969.1,195,assembly;
NP_041970.1,699,replication;
NP_041971.1,420,unknown
NP_041972.1,450,packaging;
NP_041973.1,456,lysis;
NP_041974.1,366,unknown
NP_041975.1,1701,replication;
NP_041976.1,NA,NA
NP_041977.1,1512,replication;
NP_041978.1,339,assembly;
NP_041979.1,213,unknown
NP_041980.1,270,unknown
NP_041981.1,408,unknown
NP_041982.1,2115,replication;
NP_041983.1,357,unknown
NP_041984.1,509,assembly;
NP_041984.1,509,assembly;
NP_041985.1,300,replication;
NP_041986.1,210,replication;
NP_041987.1,159,regulation;packaging;
NP_041988.1,903,packaging;
NP_041989.1,114,assembly;
NP_041990.1,255,assembly;
NP_041991.1,267,unknown
NP_041992.1,402,infection;
NP_041993.1,300,unknown
NP_041994.1,393,unknown
NP_041995.1,1611,assembly;infection;
NP_041996.1,924,assembly;
NP_041997.1,1196,assembly;
NP_041997.1,1196,assembly;
NP_041998.1,1038,assembly;
NP_041999.1,591,infection;
NP_042000.1,2385,infection;
NP_042001.1,417,infection;
NP_042002.1,591,infection;
NP_042003.1,2244,infection;
NP_042004.1,3957,infection;
NP_042005.1,1662,infection;
NP_042006.1,204,lysis;
NP_042007.1,270,infection;
NP_042008.1,432,lysis;
NP_042009.1,252,assembly;
NP_042010.1,1761,infection;
NP_042011.1,258,unknown
NP_042012.1,174,unknown
NP_042013.1,150,assembly;
NP_046757.1,1035,assembly;
NP_046758.1,1773,assembly;
NP_046759.1,855,assembly;
NP_046760.1,1074,assembly;
NP_046761.1,744,assembly;
NP_046762.1,510,assembly;
NP_046763.1,204,assembly;
NP_046764.1,282,assembly;
NP_046765.1,498,assembly;
NP_046766.1,426,lysis;
NP_046767.1,426,lysis;
NP_757382.1,291,lysis;
NP_046768.1,468,assembly;
NP_046769.1,453,assembly;
NP_046770.1,786,unknown
NP_046771.1,636,assembly;
NP_046772.1,348,assembly;
NP_046773.1,909,assembly;
NP_046774.1,531,assembly;
NP_046775.1,2010,assembly;
NP_046776.1,528,assembly;
NP_046777.1,1587,unknown
NP_046778.1,1191,assembly;
NP_046779.1,519,assembly;
NP_046780.1,428,assembly;
NP_046780.1,428,assembly;
NP_046781.1,276,assembly;
NP_046782.1,2448,assembly;
NP_046783.1,480,assembly;
NP_046784.1,1164,assembly;
NP_046785.1,219,regulation;
NP_046786.1,1014,unknown
NP_046787.1,300,assembly;
NP_046788.1,276,unknown
NP_046789.1,171,unknown
NP_046790.1,501,assembly;
NP_046791.1,225,unknown
NP_046792.1,303,unknown
NP_046793.1,225,unknown
NP_046794.1,276,unknown
NP_046795.1,2286,assembly;
NP_046796.1,330,unknown
NP_046797.1,762,unknown
NP_046798.1,1761,unknown
YP_006471.1,222,unknown
YP_006472.1,1032,integration;
YP_006473.1,312,unknown
YP_006474.1,561,unknown
YP_006475.1,753,unknown
YP_006476.1,2913,unknown
YP_006477.1,249,unknown
YP_006478.1,441,unknown
YP_006479.1,6768,unknown
YP_006480.1,1710,unknown
YP_006481.1,1020,unknown
YP_006482.1,NA,NA
YP_006483.1,255,unknown
YP_006484.1,558,unknown
YP_006485.1,489,unknown
YP_006486.1,NA,NA
YP_006487.1,504,integration;
YP_006488.1,NA,NA
YP_006489.1,NA,NA
YP_006490.1,309,unknown
YP_006491.1,2988,unknown
YP_006492.1,NA,NA
YP_006493.1,366,unknown
YP_006494.1,1920,unknown
YP_006495.1,612,unknown
YP_006496.1,444,unknown
YP_006497.1,330,unknown
YP_006498.1,282,unknown
YP_006499.1,561,unknown
YP_006500.1,534,assembly;infection;
YP_006501.1,528,assembly;
YP_006502.1,2964,assembly;
YP_006503.1,435,assembly;
YP_006504.1,837,assembly;
YP_006505.1,1434,unknown
YP_006506.1,357,unknown
YP_006507.1,3423,unknown
YP_006508.1,882,unknown
YP_006509.1,612,unknown
YP_006510.1,567,unknown
YP_006511.1,NA,NA
YP_006512.1,NA,NA
YP_006513.1,NA,NA
YP_006514.1,222,unknown
YP_006515.1,1044,unknown
YP_006516.1,795,unknown
YP_006517.1,801,lysis;
YP_006518.1,846,unknown
YP_006519.1,705,unknown
YP_006520.1,465,unknown
YP_006521.1,297,unknown
YP_006522.1,510,unknown
YP_006523.1,582,unknown
YP_006524.1,816,unknown
YP_006525.1,1590,unknown
YP_006526.1,1707,unknown
YP_006527.1,1002,unknown
YP_006528.1,1197,unknown
YP_006529.1,861,unknown
YP_006530.1,393,unknown
YP_006531.1,333,unknown
YP_006532.1,423,unknown
YP_006533.1,846,unknown
YP_006534.1,285,unknown
YP_006535.1,285,unknown
YP_006536.1,906,unknown
YP_006537.1,NA,NA
YP_006538.1,NA,NA
YP_006539.1,NA,NA
YP_006540.1,426,unknown
YP_006541.1,165,unknown
YP_006542.1,108,unknown
YP_006543.1,1365,unknown
YP_006544.1,999,unknown
YP_006545.1,633,unknown
YP_006546.1,1017,unknown
YP_006547.1,786,unknown
YP_006548.1,729,unknown
YP_006549.1,1218,assembly;
YP_006550.1,378,assembly;
YP_006551.1,246,unknown
YP_006552.1,579,unknown
YP_006553.1,156,unknown
YP_006554.1,663,unknown
YP_006555.1,627,unknown
YP_006556.1,693,unknown
